,aciklama,ilce,mahalle,fiyat,m2_brut,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,kullanim_durumu,site_icerisinde,aidat,kimden,yaka
5540,setyap'tan cebeci̇ 3+1 dai̇re,Sultangazi,İsmetpaşa Mh.,4500.0,125.0,120.0,3+1,11-15 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5541,okçu gayri̇menkul'den sahi̇le ve çarşiya yakin sifir 1+1 dai̇re,Bakırköy,Yeşilköy Mh.,12000.0,80.0,65.0,1+1,0,Bahçe Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5542,bahçelievler cadde üzeri tabela değeri yüksek kiralık 3+1 daire,Bahçelievler,Soğanlı Mh.,5500.0,110.0,95.0,2+1,26-30 arası,1,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,70.0,Emlak Ofisinden,Avrupa
5543,yorum i̇stanbul evleri for rent 1+1 with furnished m1 metro 2 min,Bayrampaşa,Kocatepe Mah.,9000.0,65.0,60.0,1+1,5-10 arası,16,18,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,488.0,Emlak Ofisinden,Avrupa
5544,seyrantepe'de 2+1 120m2 geni̇ş dai̇re,Kağıthane,Seyrantepe Mah.,7750.0,140.0,120.0,2+1,21-25 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,30.0,Emlak Ofisinden,Avrupa
5545,saygin'dan fevzi̇çakmak mah evli̇ memura lüks 1+1 ki̇ralik dai̇re,Esenler,Fevzi Çakmak Mh.,3500.0,80.0,70.0,1+1,26-30 arası,4,4,Doğalgaz (Kombi),1,Yok,Hayır,Mülk Sahibi,Hayır,,Emlak Ofisinden,Avrupa
5546,beyoğlu hacıahmet de 2 +1 sıfır kiralık daire,Beyoğlu,Hacıahmet Mh.,6500.0,100.0,90.0,2+1,0,3,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Avrupa
5547,ki̇ptaş 4.etap'da deni̇z manzarali dai̇re,Silivri,Alipaşa Mh.,3000.0,92.0,70.0,2+1,0,7,7,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Sahibinden,Avrupa
5548,eyüpsultan koray bianco modern eşyalı 1+1 kiralık (681),Eyüpsultan,Göktürk Merkez Mh.,16490.0,66.0,55.0,1+1,0,3,5,Doğalgaz (Kombi),1,Var,Evet,Kiracılı,Evet,550.0,Emlak Ofisinden,Avrupa
5549,شقه للايجار داخل مجمع فينيسا 1+1venezia projesi,Gaziosmanpaşa,Karadeniz Mah.,12999.0,96.0,85.0,1+1,4,16,20,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
5550,evsen i̇nşaat'tan 07 fati̇h si̇li̇vri̇kapi si̇te i̇çi̇nde 3+1 asansörlü,Fatih,Silivrikapı Mh.,15000.0,140.0,130.0,3+1,26-30 arası,9,10,Doğalgaz (Kombi),1,Var,Evet,Mülk Sahibi,Evet,400.0,Emlak Ofisinden,Avrupa
5551,beyli̇kdüzü ki̇ralik buti̇k si̇tede 1+1 dai̇re,Beylikdüzü,Kavaklı Mh.,5500.0,65.0,54.0,1+1,3,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,265.0,Emlak Ofisinden,Avrupa
5552,sahi̇bi̇nden ki̇ralik komisyonsuz,Çatalca,Ferhatpaşa Mh.,3650.0,85.0,85.0,2+1,4,4,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,290.0,Sahibinden,Avrupa
5553,fati̇h kocamustafapaşa yeni̇ eşyali̇ ki̇rali̇k 2+1,Fatih,Yedikule Mah.,7500.0,90.0,70.0,2+1,31 ve üzeri,Giriş Katı,4,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,30.0,Emlak Ofisinden,Avrupa
5554,göktürk'de doğa manzarali 2+1 ki̇ralik geni̇ş dai̇re,Eyüpsultan,Göktürk Merkez Mh.,7000.0,95.0,85.0,2+1,5-10 arası,Yüksek Giriş,5,Doğalgaz (Kombi),2,Yok,Hayır,Mülk Sahibi,Hayır,,Emlak Ofisinden,Avrupa
5555,kağıthane saklıkent residencede kiralık 2+1 daire,Kağıthane,Merkez Mah.,6500.0,75.0,67.0,2+1,0,2,15,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5556,"tema i̇stanbulda ki̇ralik dai̇re 2+1,122 m2,kapali mutfak",Küçükçekmece,Atakent Mah.,13750.0,122.0,95.0,2+1,4,15,22,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5557,memura sahi̇bi̇nden ki̇ralik ai̇le bi̇nasi,Bağcılar,Yenimahalle Mah.,3000.0,90.0,70.0,2+1,31 ve üzeri,2,3,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Hayır,50.0,Sahibinden,Avrupa
5558,bahçeli̇evler si̇yavuşpaşa da 3+1 ki̇ralik dai̇re 130 m2,Bahçelievler,Siyavuşpaşa Mh.,6500.0,130.0,115.0,3+1,31 ve üzeri,5,5,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
5559,beşiktaş çırağan 1dk i̇skele 4dk harika teraslı dubleks 4+1 daire,Beşiktaş,Yıldız Mh.,19500.0,200.0,180.0,4+1,16-20 arası,3,3,Merkezi (Pay Ölçer),3,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5560,i̇nnovi̇a 3 full lüks eşyali ki̇ralik 3+1 dai̇re,Esenyurt,Yeşilkent Mh.,10000.0,160.0,140.0,3+1,5-10 arası,21,24,Doğalgaz (Kombi),2,Yok,Evet,Boş,Evet,650.0,Emlak Ofisinden,Avrupa
5561,taşkiranlar'dan b.h.paşa mah'de kamu personeline kiralık daire,Gaziosmanpaşa,Barbaros Hayrettinpaşa Mh.,3500.0,105.0,100.0,2+1,21-25 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5562,eyüpsultan güzeltepe mahallesinde lüks eşyalı 2+1 dai̇re,Eyüpsultan,Güzeltepe Mh.,9500.0,85.0,75.0,2+1,1,6,6,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
5563,anrnautkoy mrkz devlet hastane yani memura 3000 kirlaik 1+1 dair,Arnavutköy,Arnavutköy Merkez Mh.,3000.0,80.0,80.0,1+1,5-10 arası,3,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5564,ki̇ralik oda-ev arkadaşi-lütfen okuyun-rent-sharing roommate,Bakırköy,Yenimahalle Mah.,2500.0,110.0,100.0,2+1,16-20 arası,Zemin Kat,5,Doğalgaz (Kombi),1,Var,Evet,Kiracılı,Hayır,1.0,Sahibinden,Avrupa
5565,kisa veya uzun süreli̇ eşyali ki̇ralik dai̇re turyap'tan,Arnavutköy,Deliklikaya Mah.,5000.0,85.0,80.0,2+1,4,3,8,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,353.0,Emlak Ofisinden,Avrupa
5566,akkaya yapi'dan m.kemal'de 2+1 80m2 ki̇ralik dai̇re !!,Avcılar,Mustafa Kemal Paşa Mh.,4250.0,90.0,80.0,2+1,11-15 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5567,ekşi̇oğlu akkent si̇tesi̇ 3+1 ki̇ralik dai̇re,Esenyurt,Barbaros Hayrettin Paşa Mh.,9000.0,145.0,135.0,3+1,16-20 arası,Yüksek Giriş,10,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Evet,400.0,Emlak Ofisinden,Avrupa
5568,çinar yolu cadde üzeri̇ ki̇ralik,Küçükçekmece,İnönü Mh.,4000.0,95.0,90.0,2+1,21-25 arası,5,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5569,hal i̇nşaat'tan seli̇mpaşa meydana 50 metre yakinlikta kiralik 2+1,Silivri,Selimpaşa Mh.,3250.0,100.0,72.0,1.5+1,4,Yüksek Giriş,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,İnşaat Firmasından,Avrupa
5570,k.kaarabekir...75m2brt..15yıllık..1+1...şahin i̇nşaat..,Gaziosmanpaşa,Kazım Karabekir Mh.,3750.0,75.0,70.0,1+1,11-15 arası,Yüksek Giriş,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,İnşaat Firmasından,Avrupa
5571,aki̇nci̇larda memura ve kamu calisani̇na 2+1 arakat dai̇re,Güngören,Akıncılar Mh.,4200.0,95.0,80.0,2+1,31 ve üzeri,4,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5572,miyansera evlerinde 4+1,Bayrampaşa,Altıntepsi Mh.,15000.0,176.0,149.0,4+1,5-10 arası,1,4,Kat Kaloriferi,2,Var,Hayır,Boş,Hayır,1.6,Sahibinden,Avrupa
5573,hadimköy ki̇ptaş 1.etap ki̇ralik eşyali dai̇re,Arnavutköy,Hadımköy Mh.,3500.0,75.0,67.0,2+1,11-15 arası,2,10,Doğalgaz (Kombi),1,Yok,Evet,Boş,Evet,190.0,Emlak Ofisinden,Avrupa
5574,başakşehir 4. etapta kiralık 3+1 eşyalı daire,Başakşehir,Başak Mh.,15000.0,130.0,105.0,3+1,21-25 arası,1,8,Doğalgaz (Kombi),1,Var,Evet,Boş,Evet,294.0,Emlak Ofisinden,Avrupa
5575,çapa merkezde gi̇ri̇ş kat 2+1 80m2 lüx eşyali ki̇ralik dai̇re,Fatih,Topkapı Mh.,9000.0,80.0,75.0,2+1,31 ve üzeri,Giriş Katı,3,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
5576,furkandan 100m2 2.normal kat asansörlü lüx kli̇mali ki̇ralik dai̇re,Esenler,Fevzi Çakmak Mh.,6000.0,100.0,95.0,3+1,4,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5577,ispartakule stüdyo 24 te kiralık 1+0 full eşyalı temiz daire boş,Avcılar,Tahtakale Mah.,4000.0,50.0,45.0,Stüdyo (1+0),5-10 arası,8,14,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
5578,4levent metro'ya 150metre eşyali 1+1 resi̇dance /furnished flat/,Kağıthane,Emniyet Evleri Mh.,11500.0,55.0,45.0,1+1,1,3,5,Yok,1,Yok,Evet,Boş,Hayır,450.0,Emlak Ofisinden,Avrupa
5579,vatan caddesi̇nde metro yakini 3+1 ki̇ralik dai̇re,Fatih,Karagümrük Mh.,7850.0,150.0,130.0,3+1,21-25 arası,3,8,Merkezi,1,Var,Hayır,Kiracılı,Evet,580.0,Emlak Ofisinden,Avrupa
5580,güngören genç osman mahallesi̇nde ki̇ralik 3+1 dai̇re.,Güngören,Gençosman Mh.,6250.0,135.0,120.0,3+1,16-20 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5581,toplu ulaşıma yakın kiralık eşyalı daire,Gaziosmanpaşa,Yıldıztabya Mh.,6000.0,110.0,80.0,2+1,5-10 arası,3,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,40.0,Emlak Ofisinden,Avrupa
5582,yeşi̇lkent te göl ve deni̇z manzarali 3+1 satilik dai̇re,Beylikdüzü,Adnan Kahveci Mah.,8300.0,185.0,165.0,3+1,11-15 arası,13,15,Merkezi,2,Var,Hayır,Mülk Sahibi,Evet,,Emlak Ofisinden,Avrupa
5583,deli̇kli̇kaya eli̇t bahçekent si̇tesi̇'nde ki̇ralik 3+1 dai̇re,Arnavutköy,Deliklikaya Mah.,7000.0,172.0,163.0,3+1,5-10 arası,7,11,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,450.0,Emlak Ofisinden,Avrupa
5584,sahi̇bi̇nden komi̇syonsuz dai̇re,Kağıthane,Yahya Kemal Mah.,3000.0,85.0,85.0,2+1,21-25 arası,Çatı Katı,4,Kat Kaloriferi,1,Var,Hayır,Boş,Hayır,,Sahibinden,Avrupa
5585,by emlak'tan 60.yil cd üzeri̇ arka cephe yabanci bekar hayir,Bayrampaşa,Terazidere Mah.,4250.0,80.0,75.0,2+1,26-30 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Avrupa
5586,has emlak tan kazimkarabeki̇r mh de ki̇ralik 3+1 eşyali dai̇re,Bağcılar,Kazım Karabekir Mh.,6500.0,130.0,120.0,3+1,16-20 arası,3,3,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,30.0,Emlak Ofisinden,Avrupa
5587,dünya emlak'tan 2.kat 2+1 bakimli boş ki̇ralik dai̇re,Fatih,Akşemsettin Mh.,8000.0,100.0,90.0,2.5+1,31 ve üzeri,Giriş Altı Kot 3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,30.0,Emlak Ofisinden,Avrupa
5588,konaklar gayri̇menkulden yorum i̇stanbul konutlarinda ki̇ralik 1+1.,Bayrampaşa,Kocatepe Mah.,8000.0,66.0,55.0,1+1,5-10 arası,8,18,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Avrupa
5589,turyap'tan sağmalcilar metrosuna yakin 3+1 ki̇ralik dai̇re,Bayrampaşa,Yenidoğan Mh.,5500.0,140.0,140.0,3+1,21-25 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5590,gazi̇osmanpaşa meydanda 2+1 sahi̇bi̇nden her yere yakin ki̇ralik,Gaziosmanpaşa,Sarıgöl Mh.,5250.0,100.0,80.0,2+1,26-30 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Hayır,60.0,Sahibinden,Avrupa
5591,kumbaracı yokuşunda bodrum kiralık,Beyoğlu,Hacımimi Mh.,3500.0,50.0,45.0,2+1,31 ve üzeri,Bodrum Kat,7,Yok,1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5592,center emlaktan manolya si̇tesi̇nde temi̇z arakat 75 m2 2+1 dai̇re,Küçükçekmece,Atakent Mah.,6500.0,75.0,60.0,2+1,11-15 arası,6,11,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,277.0,Emlak Ofisinden,Avrupa
5593,neptune gayri̇menkul esenler menderes mah si̇te de ki̇ralik dai̇ 3+1,Esenler,Menderes Mah.,12000.0,135.0,125.0,3+1,0,14,15,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,500.0,Emlak Ofisinden,Avrupa
5594,pearl of si̇li̇vri̇'de vi̇lla konforunda ki̇ralik 3+1 bahçe kati,Silivri,Yeni Mah.,8400.0,233.0,189.0,3+1,3,Bahçe Katı,5,Yerden Isıtma,2,Var,Hayır,Boş,Evet,750.0,Emlak Ofisinden,Avrupa
5595,realexpert'ten soyak park aparts'ta eşyali 2+1 ki̇ralik dai̇re,Küçükçekmece,Atakent Mah.,7000.0,72.0,58.0,2+1,5-10 arası,4,15,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,625.0,Emlak Ofisinden,Avrupa
5596,önder emlak'tan çatalca ki̇ptaş ki̇ralik dai̇re (manzarali),Çatalca,Ferhatpaşa Mh.,3500.0,85.0,66.0,2+1,2,6,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,290.0,Emlak Ofisinden,Avrupa
5597,başakşehi̇r altinşehi̇r mah.3+1 sifir köşe ara kat süper konum,Başakşehir,Altınşehir Mh.,7500.0,115.0,105.0,3+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Avrupa
5598,bağcılar fatih mah metroya 100 m medipol has yürüme mesafesi 3+1,Bağcılar,Fatih Mah.,9000.0,145.0,135.0,3+1,11-15 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5599,vox'dan batişehi̇r si̇tesi̇nde eşyali ki̇ralik 1+1 güncel dai̇re !!,Bağcılar,Göztepe Mh.,9400.0,80.0,60.0,1+1,5-10 arası,5,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
5600,basınexpreste muhteşem tasarım 1+1 daire,Bağcılar,Mahmutbey Mah.,12500.0,60.0,45.0,1+1,2,15,30 ve üzeri,Merkezi (Pay Ölçer),1,Yok,Evet,Mülk Sahibi,Evet,500.0,Emlak Ofisinden,Avrupa
5601,█güngören mareşal çakmak mah.3+1 eşyali büyük dai̇re█,Güngören,Mareşal Çakmak Mh.,7000.0,150.0,140.0,3+1,26-30 arası,5,5,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
5602,toplu ulaşima 5dk. yürüme mesafesi̇nde,Beşiktaş,Levent Mah.,2850.0,30.0,25.0,Stüdyo (1+0),16-20 arası,3,6,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Sahibinden,Avrupa
5603,vadi̇stanbul park etabında 1+1 kiralık daire - güncel,Sarıyer,Ayazağa Mh.,18000.0,83.0,55.0,1+1,5-10 arası,7,18,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5604,sereni̇ty küçükköy si̇tesi̇nde ki̇ralik 1+1 dai̇re,Gaziosmanpaşa,Fevzi Çakmak Mh.,7000.0,60.0,55.0,1+1,5-10 arası,2,11,Merkezi (Pay Ölçer),1,Yok,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Avrupa
5605,si̇li̇vri̇ ki̇ptaş 4 ki̇ralik zemi̇n kat kapali mutfak dai̇re,Silivri,Alipaşa Mh.,2600.0,92.0,65.0,2+1,0,Giriş Katı,7,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,320.0,Emlak Ofisinden,Avrupa
5606,tema i̇stanbul 2+1 93m2 ebeveyn banyolu ki̇ralik dai̇re,Küçükçekmece,Atakent Mah.,10500.0,93.0,93.0,2+1,5-10 arası,4,19,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,450.0,Emlak Ofisinden,Avrupa
5607,bahçeşehi̇r vadi̇tepe 3 bölge gölet cephe 3+1 163m2 10.000 tl,Başakşehir,Bahçeşehir 1. Kısım Mh.,10000.0,163.0,145.0,3+1,5-10 arası,8,26,Merkezi (Pay Ölçer),2,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Avrupa
5608,bayan konuk evi kiralık,Küçükçekmece,Kemalpaşa Mh.,2000.0,50.0,40.0,Stüdyo (1+0),0,1,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,20.0,Emlak Ofisinden,Avrupa
5609,ayişiği emlak'ta bahçeşehi̇r sui̇teste 168 m2 ön cephe & havuz 3+1,Esenyurt,Koza Mh.,9000.0,168.0,110.0,3+1,2,5,17,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,800.0,Emlak Ofisinden,Avrupa
5610,ps proje'den nef bahçeli̇evler projesi̇n'de ki̇ralik 1+1 dai̇re,Bahçelievler,Bahçelievler Mh.,8000.0,61.0,40.0,1+1,0,8,18,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5611,mst emlak çirçir mah bulut sokak ta 1+1 büyük bahçeli̇ dai̇re,Eyüpsultan,Çırçır Mh.,4000.0,75.0,65.0,1+1,5-10 arası,Bahçe Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,40.0,Emlak Ofisinden,Avrupa
5612,avcilar deni̇zköşkler 4+1 220 m2 ki̇ralik lüx dai̇re,Avcılar,Denizköşkler Mh.,10000.0,260.0,220.0,4+1,11-15 arası,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5613,hali̇ç panorama si̇tesi̇nde ki̇ralik geni̇ş 3+1 dai̇re ( residence ),Gaziosmanpaşa,Sarıgöl Mh.,11000.0,146.0,130.0,3+1,5-10 arası,2,11,Merkezi (Pay Ölçer),2,Yok,Hayır,Boş,Evet,840.0,Emlak Ofisinden,Avrupa
5614,▀▄▀▄metropol'den laleli̇'de ki̇ralik eşyali 3+1 caddeüstü,Fatih,Mesih Paşa Mh.,10000.0,120.0,100.0,3+1,31 ve üzeri,3,5,Klima,1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Avrupa
5615,sahibinden kiralik kiptas papatya sitesinde 2+1,Çatalca,Ferhatpaşa Mh.,3500.0,85.0,70.0,2+1,4,Yüksek Giriş,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,290.0,Sahibinden,Avrupa
5616,referans güneşli sitesinde kiralık 1+1 daire,Bağcılar,Güneşli Mh.,7000.0,56.0,42.0,1+1,5-10 arası,11,14,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5617,5 levent bayramoğlu si̇tesi̇ ki̇ralik,Eyüpsultan,Güzeltepe Mh.,15000.0,107.0,80.0,2+1,4,12,12,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
5618,3 tarafi yeşi̇l geni̇ş ferah ki̇ralik 3+1,Bayrampaşa,Yıldırım Mh.,7000.0,135.0,130.0,3+1,11-15 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Sahibinden,Avrupa
5619,nokta gayri̇menkul'den 19.bölge kule'de ki̇ralik 2+1,Başakşehir,Kayabaşı Mh.,7000.0,102.0,85.0,2+1,5-10 arası,21,25,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Avrupa
5620,eyüp ali̇beyköyde caddeüstü ki̇ralik eşyali 2+1 dai̇re,Eyüpsultan,Alibeyköy Mh.,14000.0,90.0,85.0,2+1,5-10 arası,1,5,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,100.0,Emlak Ofisinden,Avrupa
5621,kuzen emlakdan yeni̇ bi̇nada ters dublex bahçeli̇ dai̇re,Fatih,Zeyrek Mah.,12500.0,150.0,130.0,3+1,0,Yüksek Giriş,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5622,165m2 net güneş gören temi̇z masrafsiz si̇te i̇çeri̇si̇nde,Silivri,Cumhuriyet Mah.,4250.0,180.0,165.0,3+1,11-15 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5623,zi̇rveden forum i̇st karşisinda 2+1 70 m2 balkonlu 4. kat dai̇re,Bayrampaşa,Muratpaşa Mh.,4250.0,75.0,70.0,2+1,31 ve üzeri,4,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5624,deli̇kli̇kaya eli̇t bahçekent si̇tesi̇'nde ki̇ralik 3+1 dai̇re,Arnavutköy,Deliklikaya Mah.,4000.0,172.0,160.0,3+1,11-15 arası,Yüksek Giriş,7,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,450.0,Emlak Ofisinden,Avrupa
5625,demi̇r counrty'de 3+1 ki̇ralik dai̇re,Beylikdüzü,Kavaklı Mh.,13000.0,145.0,135.0,3+1,4,7,14,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Avrupa
5626,yeşi̇lpinar gi̇rne cad.üzeri̇nde 2+1 (full eşyali) ki̇ralik dai̇re,Eyüpsultan,Yeşilpınar Mh.,7250.0,95.0,85.0,2+1,4,2,5,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Sahibinden,Avrupa
5627,beylikdüzü vira i̇stanbul projesinde kiralık 3+1,Beylikdüzü,Barış Mh.,12000.0,200.0,180.0,3+1,0,14,14,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,800.0,Emlak Ofisinden,Avrupa
5628,"essenora'da 4,5+1 özel teraslı kış bahçeli kiralık daire",Gaziosmanpaşa,Fevzi Çakmak Mh.,20000.0,350.0,250.0,4.5+1,4,5,20,Merkezi (Pay Ölçer),3,Var,Hayır,Boş,Evet,705.0,Sahibinden,Avrupa
5629,2+1 temi̇z dai̇re,Beyoğlu,Piyalepaşa Mh.,6500.0,90.0,85.0,2+1,21-25 arası,Yüksek Giriş,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5630,altin emlak ispartakule 1 i̇stanbul si̇tesi̇ 1+1 dai̇re,Avcılar,Tahtakale Mah.,5000.0,78.0,66.0,1+1,5-10 arası,9,17,Merkezi (Pay Ölçer),1,Yok,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Avrupa
5631,venezi̇a mega 1+1 boş avm peyzaj manzarali ki̇ralik dai̇re,Gaziosmanpaşa,Karadeniz Mah.,8000.0,93.0,63.0,1+1,5-10 arası,6,17,Merkezi,1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5632,beylikdüzü metrobüs durağında full eşyalı 2+1 daire,Esenyurt,Mevlana Mh.,8000.0,145.0,125.0,2+1,21-25 arası,10,14,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,200.0,Emlak Ofisinden,Avrupa
5633,4 levent metro'ya 150metre eşyali 1+1 resi̇dance /furnished flat/,Kağıthane,Emniyet Evleri Mh.,14500.0,55.0,50.0,1+1,2,3,5,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,450.0,Emlak Ofisinden,Avrupa
5634,merter e5 paralel depo ofi̇s konut kullanimina uygun ki̇ralik 2+1,Güngören,Abdurrahman Nafiz Gürman Mh.,6500.0,100.0,95.0,2+1,31 ve üzeri,1,7,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Avrupa
5635,kiralik dai̇re 2-+1 memur mühendis,Küçükçekmece,İnönü Mh.,6000.0,95.0,90.0,2+1,4,1,4,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,30.0,Emlak Ofisinden,Avrupa
5636,ng resi̇dence 1+1 68m full lüks eşyali ki̇ralik dai̇re 212 avm yanı,Bağcılar,15 Temmuz Mh.,12000.0,68.0,42.0,1+1,0,22,26,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,,Emlak Ofisinden,Avrupa
5637,başveki̇l emlaktan findikzade öğrenci̇ yada memur ai̇leye 3+1 salon,Fatih,Molla Gürani Mh.,8000.0,170.0,160.0,3+1,31 ve üzeri,4,5,Merkezi,1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5638,arnavutköy mimar sinan i̇lkokulu yakını kiralık (bayan memura),Arnavutköy,Atatürk Mh.,1500.0,80.0,75.0,2+1,16-20 arası,Giriş Katı,3,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Avrupa
5639,halıcıoğlu metrobüs durağına 5 dk mesafede full eşyalı kiralık,Beyoğlu,Halıcıoğlu Mh.,5000.0,85.0,70.0,2+1,31 ve üzeri,2,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,30.0,Sahibinden,Avrupa
