,ilce,fiyat,m2_brut,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,site_icerisinde,kimden,yaka,oda,salon,merkeze_yakin,aidat_aralik,luks_mu
4843,Fatih,15000.0,140.0,26-30 arası,9,10,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4844,Beylikdüzü,5500.0,65.0,0-5 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,150 - 300,Hayır
4845,Çatalca,3650.0,85.0,0-5 arası,4,6,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4846,Fatih,7500.0,90.0,31 ve üzeri,0,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4847,Eyüpsultan,7000.0,95.0,5-10 arası,1,5,Doğalgaz (Kombi),2,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4848,Kağıthane,6500.0,75.0,0-5 arası,2,15,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
4849,Küçükçekmece,13750.0,122.0,0-5 arası,15,22,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4850,Bağcılar,3000.0,90.0,31 ve üzeri,2,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4851,Bahçelievler,6500.0,130.0,31 ve üzeri,5,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4852,Beşiktaş,19500.0,200.0,16-20 arası,3,3,Merkezi (Pay Ölçer),3,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,0 - 150,Hayır
4853,Esenyurt,10000.0,160.0,5-10 arası,21,24,Doğalgaz (Kombi),2,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,500 - 750,Evet
4854,Gaziosmanpaşa,3500.0,105.0,21-25 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4855,Eyüpsultan,9500.0,85.0,0-5 arası,6,6,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Evet
4856,Arnavutköy,3000.0,80.0,5-10 arası,3,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,150 - 300,Hayır
4857,Arnavutköy,5000.0,85.0,0-5 arası,3,8,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4858,Avcılar,4250.0,90.0,11-15 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4859,Esenyurt,9000.0,145.0,16-20 arası,1,10,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4860,Küçükçekmece,4000.0,95.0,21-25 arası,5,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4861,Silivri,3250.0,100.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,İnşaat Firmasından,Avrupa,1.5,1.0,Evet,300 - 500,Hayır
4862,Gaziosmanpaşa,3750.0,75.0,11-15 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,İnşaat Firmasından,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4863,Güngören,4200.0,95.0,31 ve üzeri,4,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4864,Bayrampaşa,15000.0,176.0,5-10 arası,1,4,Kat Kaloriferi,2,Var,Hayır,Hayır,Sahibinden,Avrupa,4.0,1.0,Hayır,0 - 150,Hayır
4865,Arnavutköy,3500.0,75.0,11-15 arası,2,10,Doğalgaz (Kombi),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4866,Başakşehir,15000.0,130.0,21-25 arası,1,8,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,150 - 300,Hayır
4867,Fatih,9000.0,80.0,31 ve üzeri,0,3,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Evet,0 - 150,Evet
4868,Esenler,6000.0,100.0,0-5 arası,2,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Evet
4869,Avcılar,4000.0,50.0,5-10 arası,8,14,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,500 - 750,Hayır
4870,Kağıthane,11500.0,55.0,0-5 arası,3,5,Yok,1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4871,Fatih,7850.0,150.0,21-25 arası,3,8,Merkezi,1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,500 - 750,Hayır
4872,Güngören,6250.0,135.0,16-20 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4873,Gaziosmanpaşa,6000.0,110.0,5-10 arası,3,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4874,Beylikdüzü,8300.0,185.0,11-15 arası,13,15,Merkezi,2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4875,Arnavutköy,7000.0,172.0,5-10 arası,7,11,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4876,Kağıthane,3000.0,85.0,21-25 arası,4,4,Kat Kaloriferi,1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4877,Bayrampaşa,4250.0,80.0,26-30 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4878,Bağcılar,6500.0,130.0,16-20 arası,3,3,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4879,Fatih,8000.0,100.0,31 ve üzeri,-1,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.5,1.0,Hayır,0 - 150,Hayır
4880,Bayrampaşa,8000.0,66.0,5-10 arası,8,18,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4881,Bayrampaşa,5500.0,140.0,21-25 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4882,Gaziosmanpaşa,5250.0,100.0,26-30 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
4883,Beyoğlu,3500.0,50.0,31 ve üzeri,-1,7,Yok,1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4884,Küçükçekmece,6500.0,75.0,11-15 arası,6,11,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4885,Esenler,12000.0,135.0,0-5 arası,14,15,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4886,Silivri,8400.0,233.0,0-5 arası,0,5,Yerden Isıtma,2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,500 - 750,Hayır
4887,Küçükçekmece,7000.0,72.0,5-10 arası,4,15,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
4888,Çatalca,3500.0,85.0,0-5 arası,6,6,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4889,Başakşehir,7500.0,115.0,0-5 arası,2,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4890,Bağcılar,9000.0,145.0,11-15 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4891,Bağcılar,9400.0,80.0,5-10 arası,5,31,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
4892,Bağcılar,12500.0,60.0,0-5 arası,15,31,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4893,Güngören,7000.0,150.0,26-30 arası,5,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4894,Beşiktaş,2850.0,30.0,16-20 arası,3,6,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Sahibinden,Avrupa,1.0,0.0,Hayır,0 - 150,Hayır
4895,Sarıyer,18000.0,83.0,5-10 arası,7,18,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,750 - 1000,Hayır
4896,Gaziosmanpaşa,7000.0,60.0,5-10 arası,2,11,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4897,Silivri,2600.0,92.0,0-5 arası,0,7,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4898,Küçükçekmece,10500.0,93.0,5-10 arası,4,19,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4899,Başakşehir,10000.0,163.0,5-10 arası,8,26,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,500 - 750,Hayır
4900,Esenyurt,9000.0,168.0,0-5 arası,5,17,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,750 - 1000,Hayır
4901,Bahçelievler,8000.0,61.0,0-5 arası,8,18,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4902,Eyüpsultan,4000.0,75.0,5-10 arası,0,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4903,Avcılar,10000.0,260.0,11-15 arası,4,5,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,300 - 500,Evet
4904,Gaziosmanpaşa,11000.0,146.0,5-10 arası,2,11,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,750 - 1000,Hayır
4905,Fatih,10000.0,120.0,31 ve üzeri,3,5,Klima,1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4906,Çatalca,3500.0,85.0,0-5 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Evet,Sahibinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4907,Bağcılar,7000.0,56.0,5-10 arası,11,14,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4908,Bayrampaşa,7000.0,135.0,11-15 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Sahibinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4909,Başakşehir,7000.0,102.0,5-10 arası,21,25,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4910,Eyüpsultan,14000.0,90.0,5-10 arası,1,5,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4911,Fatih,12500.0,150.0,0-5 arası,1,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4912,Silivri,4250.0,180.0,11-15 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,150 - 300,Hayır
4913,Bayrampaşa,4250.0,75.0,31 ve üzeri,4,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4914,Arnavutköy,4000.0,172.0,11-15 arası,1,7,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4915,Beylikdüzü,13000.0,145.0,0-5 arası,7,14,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4916,Eyüpsultan,7250.0,95.0,0-5 arası,2,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4917,Beylikdüzü,12000.0,200.0,0-5 arası,14,14,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,750 - 1000,Hayır
4918,Gaziosmanpaşa,20000.0,350.0,0-5 arası,5,20,Merkezi (Pay Ölçer),3,Var,Hayır,Evet,Sahibinden,Avrupa,4.5,1.0,Hayır,500 - 750,Hayır
4919,Beyoğlu,6500.0,90.0,21-25 arası,1,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4920,Avcılar,5000.0,78.0,5-10 arası,9,17,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
4921,Gaziosmanpaşa,8000.0,93.0,5-10 arası,6,17,Merkezi,1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4922,Esenyurt,8000.0,145.0,21-25 arası,10,14,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4923,Kağıthane,14500.0,55.0,0-5 arası,3,5,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4924,Güngören,6500.0,100.0,31 ve üzeri,1,7,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4925,Küçükçekmece,6000.0,95.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4926,Bağcılar,12000.0,68.0,0-5 arası,22,26,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Evet
4927,Fatih,8000.0,170.0,31 ve üzeri,4,5,Merkezi,1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4928,Beyoğlu,5000.0,85.0,31 ve üzeri,2,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4929,Avcılar,6500.0,100.0,0-5 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4930,Küçükçekmece,6500.0,74.0,5-10 arası,8,16,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
4931,Eyüpsultan,16000.0,96.0,5-10 arası,23,31,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
4932,Arnavutköy,3300.0,59.0,0-5 arası,4,12,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4933,Silivri,2500.0,73.0,0-5 arası,5,8,Doğalgaz (Kombi),1,Var,Hayır,Evet,Sahibinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4934,Avcılar,14000.0,185.0,0-5 arası,4,5,Doğalgaz (Kombi),2,Var,Evet,Hayır,Sahibinden,Avrupa,3.0,2.0,Hayır,0 - 150,Hayır
4935,Esenler,4000.0,85.0,21-25 arası,2,5,Doğalgaz Sobası,1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4936,Gaziosmanpaşa,8500.0,100.0,5-10 arası,4,20,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Evet,300 - 500,Hayır
4937,Güngören,9000.0,220.0,26-30 arası,5,5,Merkezi,1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,0 - 150,Hayır
4938,Esenyurt,4500.0,85.0,5-10 arası,1,3,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4939,Esenler,4250.0,130.0,26-30 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4940,Bakırköy,20000.0,220.0,11-15 arası,0,4,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,4.0,1.0,Hayır,0 - 150,Hayır
4941,Gaziosmanpaşa,4000.0,130.0,11-15 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Evet,Sahibinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4942,Bağcılar,14500.0,139.0,0-5 arası,15,28,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4943,Bahçelievler,12000.0,140.0,0-5 arası,3,12,Yerden Isıtma,2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4944,Silivri,1600.0,60.0,0-5 arası,0,10,Doğalgaz (Kombi),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,300 - 500,Hayır
4945,Beylikdüzü,4500.0,80.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Sahibinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4946,Fatih,5500.0,50.0,31 ve üzeri,2,6,Yok,1,Var,Hayır,Hayır,İnşaat Firmasından,Avrupa,1.0,1.0,Hayır,0 - 150,Evet
4947,Bayrampaşa,7000.0,85.0,0-5 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4948,Küçükçekmece,6200.0,75.0,26-30 arası,0,8,Doğalgaz (Kombi),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4949,Başakşehir,3500.0,85.0,0-5 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4950,Eyüpsultan,16900.0,72.0,0-5 arası,2,4,Yerden Isıtma,1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4951,Esenler,6000.0,145.0,21-25 arası,7,7,Doğalgaz Sobası,1,Var,Hayır,Hayır,Sahibinden,Avrupa,3.0,1.0,Evet,0 - 150,Hayır
4952,Arnavutköy,3500.0,90.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,İnşaat Firmasından,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4953,Beşiktaş,7700.0,75.0,26-30 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
4954,Küçükçekmece,7200.0,120.0,21-25 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4955,Başakşehir,20000.0,87.0,11-15 arası,7,11,Doğalgaz (Kombi),1,Var,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,300 - 500,Hayır
4956,Gaziosmanpaşa,18500.0,230.0,5-10 arası,14,24,Merkezi (Pay Ölçer),3,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,500 - 750,Hayır
4957,Bahçelievler,4750.0,55.0,31 ve üzeri,0,7,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4958,Güngören,6000.0,105.0,11-15 arası,3,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4959,Güngören,3500.0,50.0,5-10 arası,-1,5,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4960,Fatih,3500.0,22.0,31 ve üzeri,3,6,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,0 - 150,Hayır
4961,Arnavutköy,3000.0,75.0,0-5 arası,1,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,İnşaat Firmasından,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4962,Bakırköy,6500.0,60.0,31 ve üzeri,0,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4963,Esenyurt,6000.0,140.0,16-20 arası,4,9,Doğalgaz (Kombi),1,Var,Hayır,Evet,Sahibinden,Avrupa,3.0,1.0,Hayır,150 - 300,Hayır
4964,Sarıyer,15000.0,95.0,0-5 arası,10,15,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,500 - 750,Hayır
4965,Fatih,6500.0,70.0,5-10 arası,2,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4966,Gaziosmanpaşa,7500.0,120.0,21-25 arası,1,4,Doğalgaz (Kombi),2,Var,Evet,Hayır,Sahibinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
4967,Küçükçekmece,6500.0,110.0,21-25 arası,4,5,Doğalgaz (Kombi),2,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4968,Eyüpsultan,17000.0,200.0,11-15 arası,2,5,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4969,Eyüpsultan,18000.0,138.0,0-5 arası,10,15,Merkezi (Pay Ölçer),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4970,Küçükçekmece,4250.0,60.0,0-5 arası,1,12,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,300 - 500,Hayır
4971,Kağıthane,5500.0,42.0,0-5 arası,9,11,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,300 - 500,Hayır
4972,Sarıyer,12500.0,130.0,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,300 - 500,Hayır
4973,Bakırköy,8500.0,115.0,0-5 arası,0,6,Doğalgaz (Kombi),1,Var,Hayır,Hayır,İnşaat Firmasından,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4974,Bağcılar,4000.0,75.0,0-5 arası,1,3,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4975,Küçükçekmece,8000.0,47.0,0-5 arası,4,15,Merkezi (Pay Ölçer),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,500 - 750,Evet
4976,Fatih,3500.0,45.0,0-5 arası,3,4,Klima,1,Yok,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,0.0,Hayır,0 - 150,Hayır
4977,Arnavutköy,2750.0,85.0,0-5 arası,0,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Sahibinden,Avrupa,1.0,1.0,Evet,0 - 150,Hayır
4978,Beşiktaş,7500.0,65.0,21-25 arası,0,4,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,1.0,1.0,Hayır,0 - 150,Hayır
4979,Beşiktaş,3500.0,125.0,31 ve üzeri,0,5,Merkezi,1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,3.0,1.0,Hayır,0 - 150,Hayır
4980,Bağcılar,11000.0,120.0,5-10 arası,8,18,Merkezi (Pay Ölçer),1,Yok,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,500 - 750,Hayır
4981,Sarıyer,18000.0,110.0,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Evet,Evet,Emlak Ofisinden,Avrupa,2.0,1.0,Hayır,150 - 300,Hayır
4982,Bayrampaşa,4250.0,82.0,0-5 arası,0,3,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Sahibinden,Avrupa,2.0,1.0,Hayır,0 - 150,Hayır
4983,Bahçelievler,8000.0,90.0,31 ve üzeri,3,6,Doğalgaz (Kombi),1,Var,Evet,Hayır,Emlak Ofisinden,Avrupa,2.0,1.0,Evet,0 - 150,Hayır
